      p1  p2
1749  89  84
1750  70  49
1751  47  48
1752  41  32
1753  17  12
1754  11   9
1755  11  11
1756  17  31
1757  45  47
1758  46  53
1759  62  63
1760  72  87
1761  72  60
1762  53  46
1763  49  38
1764  26  22
1765  18  11
1766  19  36
1767  50  67
1768  78 106
1769 112 101
1770  94  82
1771  80  68
1772  53  36
1773  39  32
1774  11   7
1775  11  19
1776  41  88
1777 139 157
1778 142 126
1779 107  87
1780  80  69
1781  51  39
1782  31  24
1783  14  10
1784  12  24
1785  46  79
1786 108 130
1787 138 133
1788 127 118
1789 109  93
1790  76  67
1791  63  61
1792  55  47
1793  41  41
1794  33  23
1795  20  17
1796  10   7
1797   5   4
1798   7   7
1799   6  13
1800  24  34
1801  41  45
1802  43  43
1803  45  47
1804  48  43
1805  35  29
1806  20  11
1807   7   8
1808   7   3
1809   0   0
1810   0   1
1811   3   5
1812   7  12
1813  15  14
1814  20  34
1815  48  47
1816  43  41
1817  36  31
1818  24  24
1819  23  17
1820  11   7
1821   6   4
1822   1   1
1823   6   9
1824  10  16
1825  23  34
1826  47  51
1827  60  63
1828  61  67
1829  71  70
1830  62  50
1831  41  28
1832  14   9
1833   7  12
1834  24  55
1835  93 116
1836 139 142
1837 126 105
1838  82  87
1839  82  64
1840  50  37
1841  29  25
1842  19  11
1843  12  15
1844  28  38
1845  47  61
1846  65  97
1847 123 122
1848 121  99
1849  78  69
1850  67  64
1851  60  55
1852  45  40
1853  30  21
1854  16   7
1855   3   4
1856   9  22
1857  36  54
1858  76  93
1859  95  95
1860  91  78
1861  68  61
1862  55  44
1863  43  48
1864  41  31
1865  24  17
1866   7   6
1867  17  36
1868  57  73
1869 106 138
1870 135 113
1871  98 102
1872  92  68
1873  52  45
1874  33  18
1875  13  11
1876  13  13
1877   7   3
1878   2   6
1879  16  31
1880  44  54
1881  62  60
1882  55  62
1883  74  65
1884  55  53
1885  41  26
1886  14  13
1887  11   7
1888   5   6
1889   6   7
1890  17  35
1891  56  71
1892  77  84
1893  87  79
1894  71  64
1895  53  43
1896  35  27
1897  26  28
1898  20  12
1899  11  10
1900   5   3
1901   3   5
1902  11  23
1903  33  42
1904  51  63
1905  62  53
1906  60  63
1907  51  49
1908  51  43
1909  33  21
1910  13   6
1911   3   3
1912   3   2
1913   4   9
1914  24  47
1915  59  56
1916  69 101
1917  98  84
1918  78  65
1919  51  38
1920  31  27
1921  23  14
1922   7   6
1923   8  16
1924  24  41
1925  61  65
1926  72  71
1927  69  77
1928  68  63
1929  57  39
1930  28  22
1931  15  11
1932   9   6
1933   5   8
1934  15  34
1935  57  77
1936 101 116
1937 110 109
1938 103  91
1939  76  67
1940  58  49
1941  48  31
1942  21  17
1943   9   9
1944  19  33
1945  56  89
1946 126 152
1947 145 135
1948 139 136
1949 118  87
1950  72  70
1951  47  32
1952  26  15
1953   7   4
1954  12  35
1955  81 137
1956 164 188
1957 200 187
1958 181 161
1959 131 114
1960  84  56
1961  49  38
1962  30  28
1963  21  10
1964  11  15
1965  25  45
1966  73  91
1967 101 107
1968 110 106
1969 105 105
1970  84  67
1971  69  71
1972  51  39
1973  32  35
1974  25  16
1975  16  12
1976  15  26
1977  57  89
1978 110    
